Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
17/04/2011,Winter is Coming,0.0,0.0,1.0,0.0,1.0,1.0,bran stark,Jon said he was a deserter.
17/04/2011,Winter is Coming,0.232,0.359,0.409,-0.4215,1.0,1.0,benjen,"Well, you're always welcome on the wall. No bastard was ever refused a seat there."
17/04/2011,Winter is Coming,0.0,0.0,1.0,0.0,1.0,1.0,benjen,Jon…
17/04/2011,Winter is Coming,0.268,0.223,0.51,0.1779,1.0,1.0,tyrion lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
17/04/2011,Winter is Coming,0.0,0.538,0.462,-0.7184,1.0,1.0,tyrion lannister,"Did I offend you? Sorry. You are the bastard, though."
17/04/2011,Winter is Coming,0.033,0.244,0.723,-0.8967,1.0,1.0,tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
17/04/2011,Winter is Coming,0.0,0.364,0.636,-0.6124,1.0,1.0,tyrion lannister,All dwarves are bastards in their fathers' eyes.
24/04/2011,The Kingsroad,0.098,0.194,0.708,-0.3468,1.0,2.0,robert baratheon,Bessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?
24/04/2011,The Kingsroad,0.132,0.117,0.751,-0.3757,1.0,2.0,tyrion lannister,"Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?"
24/04/2011,The Kingsroad,0.093,0.148,0.759,-0.3182,1.0,2.0,tyrion lannister,"A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms."
01/05/2011,Lord Snow,0.12,0.177,0.703,-0.5423,1.0,3.0,alliser thorne,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?"
01/05/2011,Lord Snow,0.12,0.177,0.703,-0.5423,1.0,3.0,alliser thorne,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?"
01/05/2011,Lord Snow,0.0,0.687,0.313,-0.7644,1.0,3.0,grenn,"You broke my nose, bastard!"
01/05/2011,Lord Snow,0.0,0.0,1.0,0.0,1.0,3.0,grenn,"We'll talk later, Lord Snow."
01/05/2011,Lord Snow,0.239,0.0,0.761,0.2235,1.0,3.0,benjen stark,"You're not going. You're no ranger, Jon."
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.415,0.585,-0.7964,1.0,4.0,tyrion lannister,"I have a tender spot in my heart for cripples, bastards and broken things."
08/05/2011,"Cripples, Bastards and Broken Things",0.23,0.059,0.711,0.8779,1.0,4.0,alliser thorne,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard."
08/05/2011,"Cripples, Bastards and Broken Things",0.23,0.059,0.711,0.8779,1.0,4.0,alliser thorne,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard."
08/05/2011,"Cripples, Bastards and Broken Things",0.077,0.206,0.716,-0.7738,1.0,4.0,grand maester pycelle,"Lord Arryn? His death was a great sadness to all of us. I took personal charge of his care, but I could not save him. His sickness struck him very hard and very fast. I saw him in my chambers just the night before he passed. Lord Jon often came to me for counsel."
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.0,1.0,0.0,1.0,4.0,eddard stark,Jon's death...
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.538,0.462,-0.5423,1.0,4.0,eddard stark,King Robert's bastard son.
08/05/2011,"Cripples, Bastards and Broken Things",0.188,0.0,0.812,0.7579,1.0,4.0,rast,"You are in love, Lord Snow. You girls can do as you please. But if Thorne puts me up against Lady Piggy, I'm gonna slice me off a side of bacon."
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.0,1.0,0.0,1.0,4.0,sam tarly,Jon Snow?
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.0,1.0,0.0,1.0,4.0,sam tarly,Jon Snow?
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.412,0.588,-0.5423,1.0,4.0,sam tarly,Because... You're a bastard from the north.
08/05/2011,"Cripples, Bastards and Broken Things",0.252,0.0,0.748,0.7501,1.0,4.0,catelyn stark,The red stallion was always a welcome sight at Riverrun. My father counts Jonas Bracken amongst his oldest and most loyal bannermen.
15/05/2011,The Wolf and the Lion,0.339,0.166,0.495,0.5994,1.0,5.0,eddard stark,Jon was a man of peace. He was Hand for 17 years -- 17 good years. Why kill him?
15/05/2011,The Wolf and the Lion,0.0,0.226,0.774,-0.5423,1.0,5.0,varys,He's found one bastard already. He has the book. The rest will come.
15/05/2011,The Wolf and the Lion,0.089,0.299,0.612,-0.7591,1.0,5.0,arya stark,I'm not lying! They said you found the bastard and the wolves are fighting the lions and the savage... something about the savage.
15/05/2011,The Wolf and the Lion,0.153,0.118,0.73,0.4617,1.0,5.0,lysa arryn,"You bring him here without permission? You pollute my home with his presence? Your aunt has done a bad thing, Robin, a very bad thing. You remember her, don't you? Isn't he beautiful? And strong too. Jon knew it. His last words were, ""the seed is strong."" He wanted everyone to know what a good, strong boy his son would grow up to be. Look at him, the Lord of all the Vale."
15/05/2011,The Wolf and the Lion,0.0,0.364,0.636,-0.6124,1.0,5.0,eddard stark,What do you know of King Robert's bastards?
29/05/2011,You Win or You Die,0.0,0.0,1.0,0.0,1.0,7.0,sam tarly,"Jon, wait! Don't you see what they're doing?"
05/06/2011,The Pointy End,0.0,0.778,0.222,-0.5423,1.0,8.0,kings guard,Foreign bastard.
12/06/2011,Baelor,0.159,0.136,0.705,-0.1007,1.0,9.0,varys,"l want you to serve the realm! Tell the queen you will confess your vile treason, tell your son to lay down his sword and proclaim Joffrey as the true heir. Cersei knows you as a man of honor. lf you give her the peace she needs, and promise to carry her secret to your grave, l believe she will allow you to take the black and live out your days on the Wall with your brother and your bastard son."
12/06/2011,Baelor,0.104,0.146,0.75,-0.25,1.0,9.0,walder frey,"l need lessons in courtesy from you, bastard? Your mother would still be a milkmaid if l hadn't squirted you into her belly."
19/06/2011,Fire and Blood,0.06,0.14,0.8,-0.8271,1.0,10.0,jeor mormont,"l'll not sit meekly by and wait for the snows. l mean to find out what's happening. The Night's Watch will ride in force against the wildlings, the White Walkers and whatever else is out there. And we will find Benjen Stark, alive or dead. l will command them myself. So l'll only ask you once, Lord Snow, are you a brother of the Night's Watch or a bastard boy who wants to play at war?"
19/06/2011,Fire and Blood,0.06,0.14,0.8,-0.8271,1.0,10.0,jeor mormont,"l'll not sit meekly by and wait for the snows. l mean to find out what's happening. The Night's Watch will ride in force against the wildlings, the White Walkers and whatever else is out there. And we will find Benjen Stark, alive or dead. l will command them myself. So l'll only ask you once, Lord Snow, are you a brother of the Night's Watch or a bastard boy who wants to play at war?"
01/04/2012,The North Remembers,0.0,0.127,0.873,-0.5423,2.0,1.0,craster,"Snow, eh? Listen to me, bastard. All you lot from south of the Wall, you're Southerners. But now you're in the North, the real North."
01/04/2012,The North Remembers,0.239,0.239,0.522,-0.0018,2.0,1.0,craster,I catch that pretty little bastard talking to my daughters -
01/04/2012,The North Remembers,0.0,0.284,0.716,-0.9129,2.0,1.0,robb stark,You're held captive by a boy. Perhaps you'll be killed by a boy. . Stannis Baratheon sent ravens to all the high lords of Westeros. King Joffrey Baratheon is neither a true king nor a true Baratheon. . He's your bastard son.
01/04/2012,The North Remembers,0.0,0.399,0.601,-0.9062,2.0,1.0,joffrey lannister,I'm asking if he fucked other women when he grew tired of you. How many bastards does he have running -
01/04/2012,The North Remembers,0.0,0.621,0.379,-0.8481,2.0,1.0,janos,Enough. Get it done. Kill the bastard.
01/04/2012,The North Remembers,0.0,0.538,0.462,-0.5423,2.0,1.0,janos,Where is the bastard?
08/04/2012,The Night Lands,0.0,0.364,0.636,-0.6124,2.0,2.0,joffrey lannister,How many bastards does he have running around?
08/04/2012,The Night Lands,0.0,0.538,0.462,-0.5423,2.0,2.0,janos,Where is the bastard?
08/04/2012,The Night Lands,0.086,0.081,0.833,0.0516,2.0,2.0,gold cloak,We're looking for a boy named Gendry. . He carries a bull's head helmet. Anyone turning him over will earn the King's reward. We'll be back. With more men. And I'll be taking your head home along with that bastard boy.
08/04/2012,The Night Lands,0.048,0.586,0.365,-0.9595,2.0,2.0,tyrion lannister,"No, but who else would want to murder King Robert's bastards? She's always been a jealous woman."
08/04/2012,The Night Lands,0.155,0.147,0.697,-0.1779,2.0,2.0,tyrion lannister,"That's good of you, but you have heard them. I suppose people who do believe that filth, consider Robert's bastards to be better claimants to the throne than Cersei's children."
08/04/2012,The Night Lands,0.0,0.23,0.77,-0.8818,2.0,2.0,gendry baratheon,"He could be one of those gold-hatted bastards, for all I know. What about you, anyway? You thought they were after you, why? Did you kill someone, or is it just because you're a girl?"
15/04/2012,What Is Dead May Never Die,0.0,0.0,1.0,0.0,2.0,3.0,craster,This bastardo s been meddling where he shouldn't!
29/04/2012,The Ghost of Harrenhal,0.0,0.274,0.726,-0.5994,2.0,5.0,sam,"I could take up Jon's duties while he's gone, my lord. It would be no trouble."
06/05/2012,The Old Gods and the New,0.09,0.235,0.676,-0.9143,2.0,6.0,qhorin,"I don't want you to be glad about it. I want you to curse and fight until your heart's done pumping. And know this, boy. Your death will be a gift for them south of the Wall. They'll never know what you've done. They'll never know how you died. They won't even know your damn name. But they'll be alive because some nameless bastard north of the Wall gave his life for theirs. Now, do you understand me?"
06/05/2012,The Old Gods and the New,0.144,0.289,0.567,-0.2023,2.0,6.0,ygritte,"Strike hard and true, Jon Snow, or I'll come back and haunt you. That's cold."
06/05/2012,The Old Gods and the New,0.144,0.289,0.567,-0.2023,2.0,6.0,ygritte,"Strike hard and true, Jon Snow, or I'll come back and haunt you. That's cold."
06/05/2012,The Old Gods and the New,0.0,0.487,0.513,-0.5848,2.0,6.0,ygritte,"Do it. Bastard, do it!"
06/05/2012,The Old Gods and the New,0.22,0.0,0.78,0.4767,2.0,6.0,ygritte,"The sun's going down, Jon Snow. And your friends are nowhere close."
06/05/2012,The Old Gods and the New,0.22,0.0,0.78,0.4767,2.0,6.0,ygritte,"The sun's going down, Jon Snow. And your friends are nowhere close."
06/05/2012,The Old Gods and the New,0.0,1.0,0.0,-0.8652,2.0,6.0,man,Murderer! Bastard!
06/05/2012,The Old Gods and the New,0.0,0.791,0.209,-0.5848,2.0,6.0,man,He's a bastard!
06/05/2012,The Old Gods and the New,0.091,0.088,0.822,0.0516,2.0,6.0,roose,"Theon holds the castle with a skeleton crew. Let me send word to my bastard at the Dreadfort. He can raise a few hundred men and retake Winterfell before the new moon. We have the Lannisters on the run. If you march all the way back north now, you'll lose what you gained. My boy would be honored to bring you Prince Theon's head."
13/05/2012,A Man Without Honor,0.286,0.0,0.714,0.7793,2.0,7.0,tywin lannister,Aren't most girls more interested in the pretty maidens from the songs? Jonquil with the flowers in her hair?
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,2.0,7.0,ygritte,"You know nothing, Jon Snow."
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,2.0,7.0,ygritte,"You know nothing, Jon Snow."
13/05/2012,A Man Without Honor,0.068,0.213,0.719,-0.9448,2.0,7.0,ygritte,"I swear it, Old Master King Crow, ser, we were only close together for warmth. And then I felt it, right up against me backside like a club. I can show you the bruise on me tailbone. And before I knew what was where, his his Well, it was all out in the open, all angry as you like. And I didn't want to want it, but oh, I did! And he spread me legs and ruined. The shame of it. Now I can never marry a perfumed lord. What will me poor savage father say?"
13/05/2012,A Man Without Honor,0.064,0.0,0.936,0.3919,2.0,7.0,ygritte,"And I thought that we were done, but he said, ''Turn back around.'"" I'll tell you what, Jon Snow. Since it's gonna be your word against mine, and since you can't talk about it without blushing, we may as well just-"
13/05/2012,A Man Without Honor,0.064,0.0,0.936,0.3919,2.0,7.0,ygritte,"And I thought that we were done, but he said, ''Turn back around.'"" I'll tell you what, Jon Snow. Since it's gonna be your word against mine, and since you can't talk about it without blushing, we may as well just-"
13/05/2012,A Man Without Honor,0.097,0.311,0.592,-0.9101,2.0,7.0,jaime lannister,"Do you know, I've never been with any woman but Cersei. So in my own way, I have more honor than poor old dead Ned. What was the name of that bastard he fathered?"
13/05/2012,A Man Without Honor,0.278,0.161,0.56,0.8873,2.0,7.0,jaime lannister,"No, that wasn't it. Snow, a bastard from the North. Now, when When good old Ned came home with some whore's baby, did you pretend to love it? No. You're not very good at pretending. You're an honest woman. You hated that boy, didn't you? How could you not hate him? The walking, talking reminder that the honorable Lord Eddard Stark fucked another woman."
20/05/2012,The Prince of Winterfell,0.0,0.368,0.632,-0.5423,2.0,8.0,ygritte,"He's a bastard of Winterfell, Ned Stark's son."
20/05/2012,The Prince of Winterfell,0.0,0.368,0.632,-0.5423,2.0,8.0,ygritte,"He's a bastard of Winterfell, Ned Stark's son."
20/05/2012,The Prince of Winterfell,0.092,0.553,0.355,-0.8176,2.0,8.0,lord of bones,What does Mance want with a dead man's bastard?
20/05/2012,The Prince of Winterfell,0.0,0.0,1.0,0.0,2.0,8.0,ygritte,"We're even now, Jon Snow."
20/05/2012,The Prince of Winterfell,0.0,0.0,1.0,0.0,2.0,8.0,ygritte,"We're even now, Jon Snow."
20/05/2012,The Prince of Winterfell,0.427,0.267,0.305,0.2732,2.0,8.0,quorin,"I should have known better, trusting a traitor's bastard."
20/05/2012,The Prince of Winterfell,0.0,0.0,1.0,0.0,2.0,8.0,sam,Where do you think Jon is right now?
20/05/2012,The Prince of Winterfell,0.786,0.0,0.214,0.8759,2.0,8.0,sam,"He's not dead. No, Jon's a great fighter."
20/05/2012,The Prince of Winterfell,0.0,0.156,0.844,-0.5423,2.0,8.0,roose bolton,We've sent a dozen ravens. None have returned. My bastard is only a few days from Winterfell. Once he captures the castle
27/05/2012,Blackwater,0.175,0.131,0.694,0.5204,2.0,9.0,cersei lannister,"Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten."
27/05/2012,Blackwater,0.0,0.578,0.422,-0.8904,2.0,9.0,man,"Faster, you bastards! Faster! Come on, kill the scum!"
27/05/2012,Blackwater,0.0,0.396,0.604,-0.6792,2.0,9.0,man,"Come on, you bastards! Get up those ladders!"
03/06/2012,Valar Morghulis,0.188,0.141,0.671,0.1779,2.0,10.0,theon greyjoy,The opportunity for Jon Snow to cut my throat in my sleep.
03/06/2012,Valar Morghulis,0.188,0.141,0.671,0.1779,2.0,10.0,theon greyjoy,The opportunity for Jon Snow to cut my throat in my sleep.
03/06/2012,Valar Morghulis,0.1,0.11,0.79,-0.0772,2.0,10.0,luwin,"There are too many enemies in the south. Go to the Wall, to Jon. He'll look after you and let your mother know you're safe."
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,2.0,10.0,ygritte,"Come along, Jon Snow."
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,2.0,10.0,ygritte,"Come along, Jon Snow."
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,2.0,10.0,sam,It's Jon and the Halfhand. They're back.
31/03/2013,Valar Dohaeris,0.0,0.0,1.0,0.0,3.0,1.0,ygritte,"First time you've seen a giant, Jon Snow?"
31/03/2013,Valar Dohaeris,0.0,0.0,1.0,0.0,3.0,1.0,ygritte,"First time you've seen a giant, Jon Snow?"
31/03/2013,Valar Dohaeris,0.138,0.24,0.623,-0.7133,3.0,1.0,ygritte,"Some of them were killed by crows like you. Don't look so grim, Jon Snow. If Mance Rayder likes you, you'll live another day. And if he don't..."
31/03/2013,Valar Dohaeris,0.138,0.24,0.623,-0.7133,3.0,1.0,ygritte,"Some of them were killed by crows like you. Don't look so grim, Jon Snow. If Mance Rayder likes you, you'll live another day. And if he don't..."
31/03/2013,Valar Dohaeris,0.234,0.203,0.563,0.1779,3.0,1.0,mance,"So, you're Ned Stark's bastard. Thank you for the gift, Lord of Bones. You can leave us."
31/03/2013,Valar Dohaeris,0.333,0.0,0.667,0.3612,3.0,1.0,mance,"Why do you want to join us, Jon Snow?"
31/03/2013,Valar Dohaeris,0.333,0.0,0.667,0.3612,3.0,1.0,mance,"Why do you want to join us, Jon Snow?"
07/04/2013,"Dark Wings, Dark Words",0.0,0.069,0.931,-0.5423,3.0,2.0,robb stark,"By the time Bolton's bastard Ramsay got to Winterfell, the Ironborn were gone. They massacred everyone and put the castle to the torch. And Bran and Rickon have not been found. They may have escaped. Or Theon may have taken them back to the Iron Islands as hostages."
07/04/2013,"Dark Wings, Dark Words",0.061,0.226,0.712,-0.9782,3.0,2.0,catelyn stark,"Jon Snow. When my husband brought that baby home from the war, I couldn't bear to look at him. I didn't want to see those brown stranger's eyes staring up at me. So I prayed to the gods, take him away. Make him die. He got the pox. And I knew I was the worst woman who ever lived. A murderer. I'd condemned this poor, innocent child to a horrible death all because I was jealous of his mother. A woman he didn't even know. So I prayed to all seven gods, let the boy live. Let him live and I'll love him. I'll be a mother to him. I'll beg my husband to give him a true name, to call him Stark and be done with it, to make him one of us."
07/04/2013,"Dark Wings, Dark Words",0.061,0.226,0.712,-0.9782,3.0,2.0,catelyn stark,"Jon Snow. When my husband brought that baby home from the war, I couldn't bear to look at him. I didn't want to see those brown stranger's eyes staring up at me. So I prayed to the gods, take him away. Make him die. He got the pox. And I knew I was the worst woman who ever lived. A murderer. I'd condemned this poor, innocent child to a horrible death all because I was jealous of his mother. A woman he didn't even know. So I prayed to all seven gods, let the boy live. Let him live and I'll love him. I'll be a mother to him. I'll beg my husband to give him a true name, to call him Stark and be done with it, to make him one of us."
14/04/2013,Walk of Punishment,0.617,0.0,0.383,0.4973,3.0,3.0,tyrion lannister,Not for bastards.
14/04/2013,Walk of Punishment,0.0,0.616,0.384,-0.4951,3.0,3.0,soldier,You little bastard.
28/04/2013,Kissed by Fire,0.0,0.0,1.0,0.0,3.0,5.0,ygritte,"Why are you still dressed? You know nothing, Jon Sno-"
28/04/2013,Kissed by Fire,0.0,0.119,0.881,-0.1083,3.0,5.0,ygritte,"Let's not go back. Let's stay here a while longer. I don't ever want to leave this cave, Jon Snow. Not ever."
28/04/2013,Kissed by Fire,0.0,0.119,0.881,-0.1083,3.0,5.0,ygritte,"Let's not go back. Let's stay here a while longer. I don't ever want to leave this cave, Jon Snow. Not ever."
05/05/2013,The Climb,0.0,0.0,1.0,0.0,3.0,6.0,jojen,I saw Jon Snow.
05/05/2013,The Climb,0.0,0.0,1.0,0.0,3.0,6.0,jojen,I saw Jon Snow.
05/05/2013,The Climb,0.0,0.316,0.684,-0.85,3.0,6.0,ygritte,"Can we not talk about that here? I'm Jon Snow. I've killed dead men and Qhorin Halfhand, but I'm scared of naked girls."
05/05/2013,The Climb,0.0,0.316,0.684,-0.85,3.0,6.0,ygritte,"Can we not talk about that here? I'm Jon Snow. I've killed dead men and Qhorin Halfhand, but I'm scared of naked girls."
05/05/2013,The Climb,0.394,0.0,0.606,0.8445,3.0,6.0,ygritte,"Only in the beginning. You're a proper lover, Jon Snow. And don't worry. Your secret's safe with me."
05/05/2013,The Climb,0.394,0.0,0.606,0.8445,3.0,6.0,ygritte,"Only in the beginning. You're a proper lover, Jon Snow. And don't worry. Your secret's safe with me."
05/05/2013,The Climb,0.051,0.213,0.736,-0.8737,3.0,6.0,ygritte,"But I'm your woman now, Jon Snow. You're going to be loyal to your woman. The Night's Watch don't care if you live or die. Mance Rayder don't care if I live or die. We're just soldiers in their armies and there's plenty more to carry on if we go down."
05/05/2013,The Climb,0.051,0.213,0.736,-0.8737,3.0,6.0,ygritte,"But I'm your woman now, Jon Snow. You're going to be loyal to your woman. The Night's Watch don't care if you live or die. Mance Rayder don't care if I live or die. We're just soldiers in their armies and there's plenty more to carry on if we go down."
05/05/2013,The Climb,0.0,0.368,0.632,-0.5423,3.0,6.0,ygritte,"You staring at my ass, Jon Snow?"
05/05/2013,The Climb,0.0,0.368,0.632,-0.5423,3.0,6.0,ygritte,"You staring at my ass, Jon Snow?"
12/05/2013,The Bear and the Maiden Fair,0.0,0.0,1.0,0.0,3.0,7.0,ygritte,"You know nothing, Jon Snow."
12/05/2013,The Bear and the Maiden Fair,0.0,0.0,1.0,0.0,3.0,7.0,ygritte,"You know nothing, Jon Snow."
12/05/2013,The Bear and the Maiden Fair,0.0,0.636,0.364,-0.5423,3.0,7.0,gendry baratheon,I'm just a bastard.
12/05/2013,The Bear and the Maiden Fair,0.0,0.093,0.907,-0.5423,3.0,7.0,melisandre,"The bastard of Robert of the House Baratheon, First of His Name, King of the Andals and the First Men. Why do you think the gold cloaks wanted you? There is power in a king's blood."
